IDADE,FX_ID,SEXO,p1,p2,p3,p4,p4a,p5,p6,p7,p8,p9a,p9b,p9c,p10A1,p10AB2,p10AB3,p10AB4,p10A5,p10A6,p10A7,p10A8,p10AB9,p10AB10,p10A11,p10AB12,p10A13,p10AB14,p10A15,p10A16,p10AB17,p10AB18,p10AB19,p10AB20,p10AB21,p10A22,p10A23,p10A24,p10A25,p10A26,p10AB27,p10AB28,p11A1,p11A2,p11A3,p11B1,p11B2,p11B3,p12Aa,p12Ab,p12Ac,p13AB,p14ABa,p14ABb,p14ABc,p14ABd,p14ABe,p14ABf,p15ABa,p15ABb,p15ABc,p15ABd,p15ABe,p15ABf,p92ABa,p92ABb,p92ABc,p16ABa,p16ABb,p16ABc,p16ABd,p16ABe,p16ABf,p16ABg,p16ABh,p16ABi,p16ABj,p16ABk,p16ABl,p16ABm,p16ABn,p16ABo,p17ABa1,p17ABa2,p17ABa3,p17ABa4,p17ABa5,p17ABa6,p17ABb1,p17ABb2,p17ABb3,p17ABb4,p17ABb5,p17ABb6,p17ABb7,p18ABa,p18ABb,p19ABa,p19ABb,p20ABa,p20ABb,p21ABa,p21ABb,p22B,p23Ba,p23Bb,p23Bc,p24B,p25Ba,p25Bb,p25Bc,p26ABa,p26ABb,p26ABc,p26ABd,p26ABe,p27ABa,p27ABb,p27ABc,p27ABd,p27ABe,p28B,p29Ba,p29Bb,p29Bc,p30B,p31Ba,p31Bb,p31Bc,p32B,p33B,p34Ba1,p34Ba2,p34Bb1,p34Bb2,p35Ba,p35Bb,p36AB,p37AB,p38AB,p39AB,p40AB,p41AB,p41ABado,p41ABent,p41ABnat,p42AB,p43AB,p44AB,p45ABa,p45ABb,p45ABc,p46ABa,p46ABb,p46ABc,p47ABa,p47ABb,p47ABc,p48AB,p49ABa,p49ABb1,p49ABb2,p49ABb3,p49ABb4,p49ABb5,p49ABb6,p49ABb7,p49ABb8,p49ABb9,p49ABb10,p50AB,p51AB,p52Adia,p52Ames,p52Aano,p53A,p58Aa,p58Ab,p58Ac,p59A,p59Ab_mes,p59Ab_ano,p60AB,p61A,p62Aa,p62Ab,p62Ac,p63ABaa,p63ABab,p63ABba,p63ABbb,p64ABaa,p64ABab,p64ABba,p64ABbb,p65ABa,p65ABb,p66AB,p67Aa,p67Ab,p67Ac,p67A,p68Aa,p68Ab,p68Ac,p69Aa,p69Ab,p70A,p70Aa,p71A,p71Aa,p72A,p73A,p74Aa,p74Ab,p74Ac,p75AB,p77Ba,p77Bb,p78Ba,p78Bb,p79Ba,p79Bb,p80Ba,p80Bb,p81Ba,p81Bb,p76Ba,p76Bb,p82Ba,p82Bb,p83Ba,p83Bb,p83Bc,reli1,reli2,reli3,reli4,reli5,p84a,p85ano,p85mes,p86a,p86b,p86c,p86d,p87,p88,p89,p90,p91ABrendafa,p91ABrendaf,CIDADE,porte1,porte2,tipo,pesoF,sede,ponto,data,nature,quest1,quest2,pesq,entrev,Indica,Nquest
42.0,4.0,2.0,1.0,5.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,997.0,0.0,0.0,,3.0,3.0,3.0,,,,,3.0,3.0,,2.0,,2.0,,,2.0,2.0,2.0,2.0,3.0,,,,,,3.0,3.0,,,,14.0,19.0,17.0,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,5.0,12.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,995.0,996.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,83.0,91.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,98.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,2.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,550.0,2.0,54.0,5.0,14.0,2.0,1.04896893040631,9.0,71.0,1506.0,3.0,8.0,1700.0,9.0,41.0,1.0,1685.0
42.0,4.0,2.0,1.0,7.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,997.0,0.0,0.0,,5.0,4.0,3.0,,,,,3.0,5.0,,3.0,,5.0,,,3.0,5.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,99.0,0.0,0.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,10.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,41.0,60.0,0.0,1.0,92.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,107.0,0.0,0.0,1.0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,47.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,800.0,2.0,55.0,1.0,10.0,2.0,0.926890649712472,9.0,74.0,1506.0,1.0,2.0,1701.0,97.0,43.0,2.0,1686.0
59.0,5.0,1.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,997.0,0.0,0.0,,3.0,4.0,5.0,,,,,3.0,5.0,,5.0,,5.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,5.0,5.0,,,,17.0,0.0,0.0,,,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,7.0,9.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,132.0,0.0,0.0,3.0,140.0,131.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,124.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,92.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,2.0,5.0,3.0,0.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,615.0,2.0,55.0,1.0,10.0,2.0,0.933767410743805,9.0,74.0,1506.0,1.0,3.0,1702.0,97.0,40.0,2.0,1687.0
61.0,6.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,997.0,0.0,0.0,,1.0,4.0,3.0,,,,,3.0,4.0,,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,2.0,0.0,0.0,,,,1.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,9.0,10.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,34.0,80.0,30.0,1.0,92.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,74.0,75.0,0.0,1.0,998.0,0.0,0.0,1.0,1.0,1.0,92.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,998.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,14.0,5.0,5.0,3.0,830.0,2.0,55.0,1.0,10.0,2.0,1.44901696166468,9.0,74.0,1506.0,1.0,4.0,1703.0,97.0,40.0,2.0,1688.0
23.0,2.0,1.0,1.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,80.0,0.0,0.0,,3.0,4.0,3.0,,,,,3.0,3.0,,2.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,19.0,12.0,18.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,11.0,12.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,995.0,996.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,70.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,2.0,,,2.0,,,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,2.0,0.0,0.0,0.0,14.0,2.0,5.0,4.0,830.0,2.0,55.0,1.0,10.0,2.0,0.896791614251777,9.0,74.0,1506.0,1.0,5.0,1704.0,97.0,44.0,2.0,1689.0
29.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,70.0,87.0,0.0,,2.0,4.0,4.0,,,,,2.0,3.0,,4.0,,5.0,,,2.0,2.0,4.0,4.0,4.0,,,,,,4.0,4.0,,,,2.0,18.0,17.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,12.0,2.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,60.0,0.0,1.0,48.0,52.0,16.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,101.0,0.0,0.0,1.0,12.0,3.0,0.0,1.0,3.0,0.0,0.0,83.0,80.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,5.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,415.0,1.0,57.0,2.0,11.0,2.0,1.24687211692537,9.0,77.0,1406.0,2.0,1.0,1705.0,23.0,52.0,1.0,1690.0
43.0,4.0,2.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,70.0,25.0,0.0,,2.0,4.0,3.0,,,,,2.0,4.0,,3.0,,3.0,,,2.0,2.0,3.0,3.0,3.0,,,,,,3.0,2.0,,,,2.0,17.0,28.0,,,,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,7.0,9.0,1.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,5.0,4.0,1.0,5.0,2.0,4.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,31.0,68.0,1.0,2.0,31.0,50.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,82.0,74.0,85.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,92.0,94.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,415.0,1.0,57.0,2.0,11.0,2.0,1.23397216892289,9.0,77.0,1406.0,2.0,2.0,1706.0,23.0,53.0,1.0,1691.0
43.0,4.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,5.0,1.0,997.0,0.0,0.0,,2.0,4.0,1.0,,,,,4.0,4.0,,1.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,4.0,17.0,27.0,,,,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,131.0,134.0,133.0,2.0,244.0,245.0,247.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,82.0,73.0,85.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,3.0,0.0,0.0,6.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,415.0,1.0,57.0,2.0,11.0,2.0,1.10194222492291,9.0,77.0,1406.0,2.0,4.0,1707.0,23.0,53.0,2.0,1692.0
18.0,2.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,997.0,0.0,0.0,,2.0,3.0,3.0,,,,,3.0,5.0,,2.0,,3.0,,,2.0,2.0,3.0,3.0,3.0,,,,,,3.0,2.0,,,,17.0,9.0,12.0,,,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,11.0,2.0,6.0,1.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,60.0,9.0,68.0,3.0,131.0,145.0,140.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,85.0,86.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,92.0,99.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,98.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,1.0,,,,,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,1804.0,3.0,57.0,2.0,11.0,2.0,1.18319142123059,9.0,77.0,1406.0,2.0,5.0,1708.0,23.0,54.0,2.0,1693.0
34.0,3.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,72.0,1.0,25.0,,2.0,3.0,3.0,,,,,1.0,3.0,,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,17.0,18.0,9.0,,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,10.0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,52.0,34.0,0.0,1.0,60.0,92.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,39.0,45.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,47.0,80.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,650.0,2.0,60.0,4.0,13.0,2.0,0.921698472124965,9.0,80.0,1506.0,3.0,1.0,1709.0,20.0,48.0,1.0,1694.0
24.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,65.0,70.0,0.0,,2.0,3.0,3.0,,,,,3.0,3.0,,3.0,,7.0,,,2.0,2.0,3.0,3.0,3.0,,,,,,1.0,1.0,,,,2.0,17.0,27.0,,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,11.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,995.0,996.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,102.0,103.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,47.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,998.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,13.0,2.0,5.0,4.0,194.0,1.0,60.0,4.0,13.0,2.0,0.868025267924917,9.0,80.0,1506.0,3.0,3.0,1710.0,20.0,39.0,2.0,1695.0
39.0,4.0,2.0,1.0,8.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,137.0,59.0,57.0,,3.0,4.0,3.0,,,,,3.0,4.0,,2.0,,4.0,,,3.0,2.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,18.0,2.0,12.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,7.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,85.0,0.0,0.0,1.0,92.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,75.0,74.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,47.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,3.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,6.0,5.0,2.0,5.0,830.0,2.0,60.0,4.0,13.0,2.0,0.969844118845489,9.0,80.0,1506.0,3.0,6.0,1711.0,20.0,47.0,1.0,1696.0
58.0,5.0,1.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,997.0,0.0,0.0,,3.0,3.0,3.0,,,,,3.0,3.0,,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,,,,99.0,0.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,12.0,5.0,3.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,42.0,0.0,0.0,1.0,92.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,52.0,63.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,26.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,,,,,,,,,,1.0,,,,,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,998.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,3.0,0.0,0.0,0.0,16.0,6.0,5.0,2.0,800.0,2.0,60.0,4.0,13.0,2.0,1.05409450317491,9.0,80.0,1506.0,3.0,7.0,1712.0,20.0,66.0,1.0,1697.0
