wave,year,saliencia,religiosidade_individual,frequencia,organizacao,indice_religiosidade,id_original
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,0.85,1.0,0.5449999999999999,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,1.0,0.9175,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,1.0,0.5825,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,1.0,0.7125,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,1.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.33,1.0,1.0,1.0,0.8325,
wave-2-1991-br,2,,0.0,0.85,0.0,0.2833333333333333,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,1.0,0.5825,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,,1.0,1.0,1.0,1.0,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,,0.0,0.44333333333333336,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,,0.0,0.11,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,0.85,1.0,0.5449999999999999,
wave-2-1991-br,2,,0.0,1.0,0.0,0.3333333333333333,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,1.0,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,,0.85,0.0,0.3933333333333333,
wave-2-1991-br,2,1.0,0.0,1.0,1.0,0.75,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,1.0,1.0,1.0,0.8325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,1.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.33,1.0,1.0,1.0,0.8325,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,0.85,1.0,0.63,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,0.85,1.0,0.63,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,0.33,1.0,1.0,1.0,0.8325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,,0.0,1.0,1.0,0.6666666666666666,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,1.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,1.0,1.0,1.0,0.9175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,,1.0,0.0,0.44333333333333336,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,1.0,1.0,0.85,0.0,0.7125,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,0.85,1.0,0.7125,
wave-2-1991-br,2,0.67,0.0,0.85,1.0,0.63,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,0.85,0.0,0.545,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,1.0,1.0,0.0,0.75,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,1.0,0.85,1.0,0.88,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,0.85,0.0,0.4625,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,,1.0,1.0,0.0,0.6666666666666666,
wave-2-1991-br,2,0.67,1.0,0.85,0.0,0.63,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,1.0,0.0,1.0,0.0,0.5,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.33,0.0,0.85,0.0,0.295,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,1.0,1.0,0.0,0.6675,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,1.0,1.0,0.0,0.5825,
wave-2-1991-br,2,0.33,0.0,1.0,0.0,0.3325,
wave-2-1991-br,2,0.67,,1.0,0.0,0.5566666666666666,
wave-2-1991-br,2,0.67,0.0,0.85,0.0,0.38,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
wave-2-1991-br,2,0.67,0.0,1.0,0.0,0.4175,
